4.582012990077264049e-06;1.549063439490055760e+00;7.636362579809271396e-04;-1.811067976115046552e+00
4.975928073745641151e-06;1.548148473049482998e+00;8.123587885564473570e-04;-1.848797772780981674e+00
5.394709932318054329e-06;1.547214641731090357e+00;8.631102407687816971e-04;-1.886527486543764009e+00
5.839383350442293822e-06;1.546261945577623420e+00;9.159319080497626978e-04;-1.924257112192258479e+00
6.310993756595785207e-06;1.545290384634486980e+00;9.708650721694390539e-04;-1.961986644297983418e+00
6.810607217077350930e-06;1.544299958949856055e+00;1.027951002521957724e-03;-1.999716077210184295e+00
7.339310429634777298e-06;1.543290668574787139e+00;1.087230955382814104e-03;-2.037445405050848812e+00
7.898210716713727271e-06;1.542262513563333881e+00;1.148746173136900185e-03;-2.075174621709659384e+00
8.488436018313262339e-06;1.541215493972664108e+00;1.212537883476779658e-03;-2.112903720838880339e+00
9.111134884432936130e-06;1.540149609863179947e+00;1.278647298570617825e-03;-2.150632695848175846e+00
9.767476467096146233e-06;1.539064861298640619e+00;1.347115614199192448e-03;-2.188361539899354113e+00
1.045865051193414866e-05;1.537961248346287224e+00;1.417984008861412426e-03;-2.226090245901034770e+00
1.118586734931482770e-05;1.536838771076971089e+00;1.491293642847767945e-03;-2.263818806503232750e+00
1.195035788500006816e-05;1.535697429565284322e+00;1.567085657281136381e-03;-2.301547214091858695e+00
1.275337359031523672e-05;1.534537223889693491e+00;1.645401173124365433e-03;-2.339275460783126981e+00
1.359618649181402976e-05;1.533358154132675288e+00;1.726281290154055813e-03;-2.377003538417869599e+00
1.448008916042165229e-05;1.532160220380856419e+00;1.809767085899961509e-03;-2.414731438555748788e+00
1.540639470003896716e-05;1.530943422725154823e+00;1.895899614549426690e-03;-2.452459152469366188e+00
1.637643673559000798e-05;1.529707761260925558e+00;1.984719905816277694e-03;-2.490186671138259200e+00
1.739156940049492773e-05;1.528453236088108458e+00;2.076268963773580511e-03;-2.527913985242784989e+00
1.845316732355017155e-05;1.527179847311378902e+00;2.170587765649683708e-03;-2.565641085157881474e+00
1.956262561519736965e-05;1.525887595040302802e+00;2.267717260586954182e-03;-2.603367960946701309e+00
2.072135985316214105e-05;1.524576479389493588e+00;2.367698368362616563e-03;-2.641094602354114418e+00
2.193080606744373794e-05;1.523246500478773413e+00;2.470571978071106709e-03;-2.678820998800071518e+00
2.319242072463610001e-05;1.521897658433336797e+00;2.576378946767341870e-03;-2.716547139372823327e+00
2.450768071156066383e-05;1.520529953383918720e+00;2.685160098070316862e-03;-2.754273012821986999e+00
2.587808331819092407e-05;1.519143385466965590e+00;2.796956220726422998e-03;-2.791998607551457123e+00
2.730514621984845146e-05;1.517737954824809554e+00;2.911808067131893465e-03;-2.829723911612151088e+00
2.879040745864980836e-05;1.516313661605847241e+00;3.029756351813773195e-03;-2.867448912694582130e+00
3.033542542418343009e-05;1.514870505964721614e+00;3.150841749868804782e-03;-2.905173598121256973e+00
3.194177883339531651e-05;1.513408488062508050e+00;3.275104895359627188e-03;-2.942897954838883390e+00
3.361106670966203946e-05;1.511927608066904183e+00;3.402586379667675749e-03;-2.980621969410388150e+00
3.534490836102920943e-05;1.510427866152423970e+00;3.533326749802172869e-03;-3.018345628006732451e+00
3.714494335759335796e-05;1.508909262500595316e+00;3.667366506664590520e-03;-3.056068916398517299e+00
3.901283150800478975e-05;1.507371797300163019e+00;3.804746103267971774e-03;-3.093791819947374400e+00
4.095025283506867662e-05;1.505815470747294826e+00;3.945505942910485994e-03;-3.131514323597128779e+00
4.295890755042136767e-05;1.504240283045793269e+00;4.089686377302596647e-03;-3.169236411864730929e+00
4.504051602825852405e-05;1.502646234407310599e+00;4.237327704647213776e-03;-3.206958068830941588e+00
4.719681877809149003e-05;1.501033325051570166e+00;4.388470167672199260e-03;-3.244679278130770506e+00
4.942957641650783796e-05;1.499401555206591130e+00;4.543153951614592977e-03;-3.282400022943649187e+00
5.174056963791183483e-05;1.497750925108918718e+00;4.701419182155922374e-03;-3.320120285983337638e+00
5.413159918422021230e-05;1.496081435003860260e+00;4.863305923307953589e-03;-3.357840049487547773e+00
5.660448581348826282e-05;1.494393085145725220e+00;5.028854175248240535e-03;-3.395559295207281281e+00
5.916107026744106101e-05;1.492685875798071438e+00;5.198103872104821443e-03;-3.433278004395862837e+00
6.180321323788415526e-05;1.490959807233956935e+00;5.371094879689414063e-03;-3.470996157797668680e+00
6.453279533196783083e-05;1.489214879736197261e+00;5.547866993178450327e-03;-3.508713735636530107e+00
6.735171703627876750e-05;1.487451093597628615e+00;5.728459934741286959e-03;-3.546430717603809235e+00
7.026189867973242067e-05;1.485668449121377188e+00;5.912913351114936281e-03;-3.584147082846130150e+00
7.326528039523923751e-05;1.483866946621134497e+00;6.101266811124637229e-03;-3.621862809952758777e+00
7.636382208011754892e-05;1.482046586421439827e+00;6.293559803149596961e-03;-3.659577876942615493e+00
7.955950335522538183e-05;1.480207368857967998e+00;6.489831732533227378e-03;-3.697292261250914258e+00
8.285432352278349034e-05;1.478349294277825354e+00;6.690121918937187891e-03;-3.735005939715409617e+00
8.625030152286109126e-05;1.476472363039851299e+00;6.894469593638547465e-03;-3.772718888562246686e+00
8.974947588849593861e-05;1.474576575514928267e+00;7.102913896769374666e-03;-3.810431083391395912e+00
9.335390469941955843e-05;1.472661932086298364e+00;7.315493874498052267e-03;-3.848142499161661956e+00
9.706566553435847899e-05;1.470728433149887993e+00;7.532248476151619937e-03;-3.885853110175255143e+00
1.008868554218817084e-04;1.468776079114639588e+00;7.753216551278423359e-03;-3.923562890061910835e+00
1.048195907897644951e-04;1.466804870402852234e+00;7.978436846650368078e-03;-3.961271811762542505e+00
1.088660074128379462e-04;1.464814807450530498e+00;8.207948003204049506e-03;-3.998979847512416974e+00
1.130282603592937924e-04;1.462805890707741030e+00;8.441788552920031358e-03;-4.036686968823835819e+00
1.173085239354131575e-04;1.460778120638979161e+00;8.679996915639543939e-03;-4.074393146468310967e+00
1.217089916286879164e-04;1.458731497723543047e+00;8.922611395817859822e-03;-4.112098350458216700e+00
1.262318760493026854e-04;1.456666022455918696e+00;9.169670179213612257e-03;-4.149802550027906989e+00
1.308794088699453929e-04;1.454581695346173431e+00;9.421211329513280025e-03;-4.187505713614282143e+00
